StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent-prolific,prolific_id,country_residence,hiring_experience,recommend-scale,open-form-explain,fit,quit,easy-to-manage,team-player,attention-binary-qs,gender,gender _3_TEXT,age,education,geography,work-experience,employment-status,employment-status _7_TEXT,specific-occupation,specific-occupation_6_TEXT,followup-jobtitle,followup-other,followup-other_1_TEXT,followup-other_2_TEXT,feedback,PROLIFIC_PID,resumes_randomization_DO_male-employee,resumes_randomization_DO_female-founder,resumes_randomization_DO_female-employee,resumes_randomization_DO_male-founder,specific-questions_DO_quit,specific-questions_DO_fit,specific-questions_DO_team-player,specific-questions_DO_easy-to-manage
2021-11-25T12:03:00Z,2021-11-25T12:06:40Z,IP Address,98.221.189.223,100,220,TRUE,2021-11-25T12:06:40Z,R_cAr2jd3SXc0VQ0F,NA,NA,NA,NA,39.911102294921875,-74.14689636230469,anonymous,EN,I consent,5ff217e93986cc6725ec82fb,United States,Yes,"Might or
might not recommend","Employment gap, overalpping dates at Best Buy",Neither a bad nor a good fit,Very likely,Not easy,A slightly good team player,"No, not an ex-founder",Male,NA,47,Associate or Bachelor's degree,Northeast,More than 20 years,Working,NA,Type name here:,State,Executive,NA,NA,NA,NA,5ff217e93986cc6725ec82fb,NA,1,NA,NA,4,1,2,3
2021-11-25T12:07:22Z,2021-11-25T12:07:37Z,IP Address,71.42.146.2,100,14,TRUE,2021-11-25T12:07:37Z,R_3iJX285h9w2RsS7,NA,NA,NA,NA,29.87370300292969,-97.93609619140624,anonymous,EN,I consent,611507d71d9a3be9f4f11e48,United States,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611507d71d9a3be9f4f11e48,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-25T12:06:10Z,2021-11-25T12:07:56Z,IP Address,98.51.5.215,100,106,TRUE,2021-11-25T12:07:57Z,R_vxiF7ctmJDipSsp,NA,NA,NA,NA,37.36979675292969,-121.81600189208984,anonymous,EN,I consent,60fe176cf09dbffb8b98b640,United States,Yes,Very probably recommend,They seem to have a lot of experience,A moderately good fit,"Might or
might not quit",Easy,A slightly good team player,"No, not an ex-founder",Female,NA,24,Associate or Bachelor's degree,West,Less than 5 years,Keeping house,NA,NA,NA,NA,NA,NA,NA,NA,60fe176cf09dbffb8b98b640,NA,NA,NA,1,2,1,4,3
2021-11-25T12:05:25Z,2021-11-25T12:08:34Z,IP Address,67.170.7.208,100,189,TRUE,2021-11-25T12:08:35Z,R_24bHFvBbRnzy53v,NA,NA,NA,NA,47.37980651855469,-122.28929901123047,anonymous,EN,I consent,61718d9e97758c13c3937d65,United States,Yes,Very probably recommend,Looks like a strong background in marketing and co-founded their own marketing firm. The candidate has managerial experience.,A moderately good fit,Not very likely,Neither easy nor difficult,A moderately good team player,"No, not an ex-founder",Male,NA,27,"Some college, no degree",West,10–20 years,Unable to work,NA,NA,NA,NA,NA,NA,NA,NA,61718d9e97758c13c3937d65,NA,1,NA,NA,2,1,3,4
2021-11-25T12:04:40Z,2021-11-25T12:08:38Z,IP Address,71.65.128.83,100,237,TRUE,2021-11-25T12:08:38Z,R_3EgRkYyQP29vw62,NA,NA,NA,NA,35.82200622558594,-80.2614974975586,anonymous,EN,I consent,61084109d30c258c50ea54fd,United States,Yes,Probably recommend,"has good work experience, no interruption in work history, looks fine to me.",Neither a bad nor a good fit,"Might or
might not quit",Easy,A slightly good team player,"Yes, an ex-founder",Female,NA,49,PhD degree,South,10–20 years,With a job but not at work,NA,Does not apply / Other,NA,NA,Write industry here:,psychotherapy,NA,no,61084109d30c258c50ea54fd,1,NA,NA,NA,2,1,3,4
2021-11-25T12:04:37Z,2021-11-25T12:09:02Z,IP Address,67.240.129.187,100,264,TRUE,2021-11-25T12:09:02Z,R_3qpTgIqE7S43ZNb,NA,NA,NA,NA,42.9967041015625,-78.1968994140625,anonymous,EN,I consent,5cd6c1197b871a0001b13589,United States,Yes,Definitely will recommend,because she has great skills and did good job quailty skills for the jobs she did and she has great past experiance in what she did,An extremely good fit,"Might or
might not quit",Definitely easy,An extremely good team player,"No, not an ex-founder",Female,NA,60,High school degree,Northeast,More than 20 years,Working,NA,Type name here:,ict,office work,NA,NA,NA,it was a great survey,5cd6c1197b871a0001b13589,NA,NA,1,NA,2,1,3,4
2021-11-25T12:00:27Z,2021-11-25T12:09:12Z,IP Address,67.184.7.88,100,525,TRUE,2021-11-25T12:09:12Z,R_BWKNoZNPTDLEBnX,NA,NA,NA,NA,41.78880310058594,-88.09159851074219,anonymous,EN,I consent,60859f820e5009a67adb3921,United States,Yes,"Might or
might not recommend","I am not sure they would be the first choice as they are the only one that I have looked at so far. Typically I like to see more than one candidate before I make a chpice. However, I know there are times that there are very few candidates to choose from.",Neither a bad nor a good fit,Likely,Neither easy nor difficult,A neither good nor bad team player,"No, not an ex-founder",Female,NA,53,Associate or Bachelor's degree,Midwest,More than 20 years,Working,NA,Type name here:,Shoe Store,associatw,NA,NA,NA,no,60859f820e5009a67adb3921,1,NA,NA,NA,3,4,1,2
2021-11-25T12:04:47Z,2021-11-25T12:09:27Z,IP Address,67.162.86.35,100,279,TRUE,2021-11-25T12:09:27Z,R_28RM9u1C0RBtaoR,NA,NA,NA,NA,41.970306396484375,-87.66400146484375,anonymous,EN,I consent,5c7a4ca80b94ca00164122a1,United States,Yes,Very probably recommend,He seems very focused and has acheibed a ton.,A moderately good fit,Very likely,Very easy,A moderately good team player,"No, not an ex-founder",Male,NA,47,Associate or Bachelor's degree,Midwest,More than 20 years,Working,NA,Type name here:,The Second City,Director/Stage Manager for Second City Works,NA,NA,NA,You ae doing great,5c7a4ca80b94ca00164122a1,1,NA,NA,NA,4,3,2,1
2021-11-25T12:03:22Z,2021-11-25T12:09:38Z,IP Address,107.77.223.80,100,376,TRUE,2021-11-25T12:09:39Z,R_3n7zet6WoW7tzPX,NA,NA,NA,NA,40.86219787597656,-73.89019775390625,anonymous,EN,I consent,5cca775d873e5c00012fa48d,United States,Yes,Definitely will recommend,"He looks like a qualified canidate, who began in an entry level position but has worked his way up into the role of CMO.",An extremely good fit,"Definitely
will not quit",Definitely easy,A moderately good team player,"Yes, an ex-founder",Female,NA,24,Associate or Bachelor's degree,West,Less than 5 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,Fashion,NA,NA,5cca775d873e5c00012fa48d,NA,NA,NA,1,4,2,3,1
2021-11-25T12:05:05Z,2021-11-25T12:09:42Z,IP Address,104.246.122.204,100,276,TRUE,2021-11-25T12:09:42Z,R_265zEKhgJZpGNIk,NA,NA,NA,NA,41.07429504394531,-73.48040008544922,anonymous,EN,I consent,614e0da3bcc70ead8f1e8d03,United States,Yes,"Might or
might not recommend","Resume looked very busy. Id prefer a format highlighting the big things. Having said that, you need to speak to the person.",A moderately good fit,"Might or
might not quit",Neither easy nor difficult,A slightly good team player,"No, not an ex-founder",Male,NA,60,Associate or Bachelor's degree,Northeast,More than 20 years,Looking for work,NA,NA,NA,NA,NA,NA,NA,Would want to look at more than 1 resume,614e0da3bcc70ead8f1e8d03,NA,1,NA,NA,4,3,2,1
2021-11-25T12:02:52Z,2021-11-25T12:10:52Z,IP Address,162.228.123.210,100,479,TRUE,2021-11-25T12:10:52Z,R_2ZNsdmffHjtYQ36,NA,NA,NA,NA,35.46690368652344,-96.01290130615234,anonymous,EN,I consent,5dd6de121f5a1a000c727763,United States,Yes,Definitely will recommend,Joe seems like am outstanding team player.has built a 10 person company helped develoed regional B2B marketingexceleent communacator.,A moderately good fit,Not likely,Definitely easy,An extremely good team player,"No, not an ex-founder",Female,NA,52,"Some college, no degree",South,More than 20 years,Working,NA,Type name here:,Dominios,Delivery driver,NA,NA,NA,it was short and to the point.,5dd6de121f5a1a000c727763,NA,NA,NA,1,4,2,1,3
2021-11-25T12:07:18Z,2021-11-25T12:10:52Z,IP Address,71.214.38.187,100,213,TRUE,2021-11-25T12:10:53Z,R_OduMq9YFQqBZwWZ,NA,NA,NA,NA,28.583602905273438,-81.53240203857422,anonymous,EN,I consent,614dd92c39fef5a3a1e2f7f2,United States,Yes,Very probably recommend,Has a good job history of marketing,A moderately good fit,Not very likely,Very easy,A moderately good team player,"Yes, an ex-founder",Female,NA,48,High school degree,South,More than 20 years,Unable to work,NA,NA,NA,NA,NA,NA,NA,NA,614dd92c39fef5a3a1e2f7f2,NA,NA,1,NA,3,4,1,2
2021-11-25T12:07:19Z,2021-11-25T12:10:55Z,IP Address,24.46.225.128,100,216,TRUE,2021-11-25T12:10:55Z,R_25A9TFJMSqoKNtK,NA,NA,NA,NA,40.854705810546875,-73.92179870605469,anonymous,EN,I consent,609963662c9c878abf47ac6f,United States,Yes,Probably recommend,Experience & education,A moderately good fit,"Might or
might not quit",Neither easy nor difficult,A moderately good team player,"No, not an ex-founder",Male,NA,49,Master's degree,Northeast,More than 20 years,Working,NA,Type name here:,Research Foundation of CUNY,Admin,NA,NA,NA,no,609963662c9c878abf47ac6f,1,NA,NA,NA,4,1,2,3
2021-11-25T12:01:24Z,2021-11-25T12:11:16Z,IP Address,98.186.61.81,100,592,TRUE,2021-11-25T12:11:16Z,R_2rwlQDRitglJgvr,NA,NA,NA,NA,37.67889404296875,-97.4269027709961,anonymous,EN,I consent,60a2743299a0c895f50925f4,United States,Yes,Probably recommend,"The resume appears to be using outdated, past tense terms. These days we want our resumes to be more action oriented by using terms such as ""Manage a team"" rather than ""Managed a team"". The resume does have some quantifiable items in it as well, which it needs.",An extremely good fit,Very likely,Very easy,A moderately good team player,"Yes, an ex-founder",Female,NA,55,Associate or Bachelor's degree,Midwest,More than 20 years,Working,NA,Type name here:,Alorica,Customer Experience Agent,NA,NA,NA,The text box provided for the reasoning behind our ideas on the resume itself might be larger with a character count? I would have typed much more if I had more freedom to move around in a large text box.,60a2743299a0c895f50925f4,1,NA,NA,NA,4,3,1,2
2021-11-25T12:08:37Z,2021-11-25T12:11:30Z,IP Address,63.227.244.211,100,173,TRUE,2021-11-25T12:11:31Z,R_3KqGOibz5jsvB9I,NA,NA,NA,NA,43.63389587402344,-116.29420471191406,anonymous,EN,I consent,58642f4de16d530001b34622,United States,Yes,Definitely will recommend,Has great amount of skills.,A moderately good fit,"Might or
might not quit",Very easy,A moderately good team player,"Yes, an ex-founder",Male,NA,61,"Some college, no degree",West,More than 20 years,Working,NA,Type name here:,Ridley;s,cashier,NA,NA,NA,NA,58642f4de16d530001b34622,NA,NA,1,NA,3,2,4,1
2021-11-25T12:08:06Z,2021-11-25T12:11:40Z,IP Address,146.115.152.252,100,214,TRUE,2021-11-25T12:11:40Z,R_VKinVekmoTaKcNj,NA,NA,NA,NA,42.30259704589844,-71.43060302734375,anonymous,EN,I consent,59f78f90a764fc000135f6e6,United States,Yes,Probably recommend,"It depends what level of experience the job that he's applying for requires. He seems to have only had two jobs in the past (the two Best Buy jobs have the same dates and seem to actually be the same job). However, I would generally recommend him because he has a lot of experience from those two jobs, and he's fairly specific in describing what he did in the resume.",A moderately good fit,Not very likely,Very easy,A moderately good team player,"No, not an ex-founder",Female,NA,36,Master's degree,Northeast,10–20 years,Working,NA,Type name here:,"It's a small local landscaping company (don't want to give the name, sorry)",Seasonal gardener,NA,NA,NA,Not that I can think of,59f78f90a764fc000135f6e6,1,NA,NA,NA,4,3,1,2
2021-11-25T12:08:43Z,2021-11-25T12:11:45Z,IP Address,72.174.210.43,100,182,TRUE,2021-11-25T12:11:46Z,R_3I6GWAqNsrFmWS1,NA,NA,NA,NA,39.07609558105469,-108.54509735107422,anonymous,EN,I consent,5e3d679eaa341501c1a5a90b,United States,Yes,Probably recommend,seems to have a professional background and good presentation on his resume,A moderately good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Female,NA,64,Associate or Bachelor's degree,West,More than 20 years,Other:,spending time outdoors,NA,NA,NA,NA,NA,NA,NA,5e3d679eaa341501c1a5a90b,1,NA,NA,NA,1,4,3,2
2021-11-25T12:09:01Z,2021-11-25T12:11:51Z,IP Address,24.12.131.22,100,170,TRUE,2021-11-25T12:11:51Z,R_2arevjII79SdRLT,NA,NA,NA,NA,41.598297119140625,-86.70259857177734,anonymous,EN,I consent,61110f26433bbfad36444c62,United States,Yes,Probably recommend,She seems very qualified for a position in marketing.,Neither a bad nor a good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Female,NA,44,Associate or Bachelor's degree,Midwest,5–10 years,Working,NA,Does not apply / Other,NA,NA,"If not self-employed, describe what you do and with whom you work with:",NA,Elementary school health assistant,NA,61110f26433bbfad36444c62,NA,NA,1,NA,2,1,3,4
2021-11-25T12:08:24Z,2021-11-25T12:12:20Z,IP Address,71.59.128.168,100,236,TRUE,2021-11-25T12:12:21Z,R_ehrydvaz0HtQDHr,NA,NA,NA,NA,45.450103759765625,-122.86799621582033,anonymous,EN,I consent,616c5f739f0d38f57216d84b,United States,Yes,Probably recommend,She has a good number of years of quality experience.,A slightly bad fit,Likely,Easy,A moderately good team player,"Yes, an ex-founder",Female,NA,61,Associate or Bachelor's degree,West,More than 20 years,Keeping house,NA,NA,NA,NA,NA,NA,NA,NA,616c5f739f0d38f57216d84b,NA,1,NA,NA,1,4,2,3
2021-11-25T12:08:21Z,2021-11-25T12:12:23Z,IP Address,75.9.164.84,100,241,TRUE,2021-11-25T12:12:23Z,R_1DB8LNk8ll2LQHg,NA,NA,NA,NA,43.07879638671875,-88.27290344238281,anonymous,EN,I consent,5ea3b1b9fc11ed33dde53561,United States,Yes,Definitely will recommend,I think it’s super impressive that he went from a Marketing Coordinator to starting his own company. Shows a lot of drive.,Neither a bad nor a good fit,Not very likely,Neither easy nor difficult,A slightly good team player,"Yes, an ex-founder",Female,NA,35,Associate or Bachelor's degree,Midwest,More than 20 years,Working,NA,Type name here:,Diversatek,Manager,NA,NA,NA,I thinking he question “was he an ex founder?” Is confusing. He has been a co-founder since 2014 but is looking for a job - I put that he’s an ex but am unsure if I’m right due to how the question is posed,5ea3b1b9fc11ed33dde53561,NA,NA,NA,1,3,2,1,4
2021-11-25T12:08:58Z,2021-11-25T12:13:02Z,IP Address,75.88.6.246,100,243,TRUE,2021-11-25T12:13:02Z,R_3Lj22s1qYbeNjEX,NA,NA,NA,NA,41.36570739746094,-78.72419738769531,anonymous,EN,I consent,5c5aecc774a76f0001a25ced,United States,Yes,Very probably recommend,Excellent and thorough history in marketing.,A slightly good fit,"Might or
might not quit",Neither easy nor difficult,A slightly good team player,"Yes, an ex-founder",Male,NA,34,"Some college, no degree",Northeast,10–20 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,agriculture,NA,no,5c5aecc774a76f0001a25ced,NA,NA,NA,1,3,2,4,1
2021-11-25T12:11:45Z,2021-11-25T12:13:28Z,IP Address,68.174.145.186,100,102,TRUE,2021-11-25T12:13:28Z,R_DNntTHwszCyx45j,NA,NA,NA,NA,40.770599365234375,-73.92829895019531,anonymous,EN,I consent,614dd9c7fe3afb375e947a27,United States,Yes,Probably recommend,The candidate appears to have a good level of expertise and past experience.,A slightly good fit,Not likely,Easy,A slightly good team player,"No, not an ex-founder",Female,NA,28,Master's degree,Northeast,Less than 5 years,Working,NA,Type name here:,Salesforce,Data Analyst,NA,NA,NA,NA,614dd9c7fe3afb375e947a27,NA,NA,1,NA,1,4,3,2
2021-11-25T12:06:06Z,2021-11-25T12:13:51Z,IP Address,98.146.106.112,100,464,TRUE,2021-11-25T12:13:51Z,R_exj1FNO7IXt3Sw1,NA,NA,NA,NA,47.72419738769531,-116.78340148925781,anonymous,EN,I consent,5589ce75fdf99b18be3203d2,United States,Yes,Very probably recommend,"This candidate has a lot of relevant experience, plus they have worked for a major corporate brand. They also have a solid history of staying with a company.",A slightly good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Female,NA,35,"Some college, no degree",West,10–20 years,Working,NA,Type name here:,Vintage Stock,Assistant Store Manager,NA,NA,NA,Nothing,5589ce75fdf99b18be3203d2,NA,NA,1,NA,3,2,1,4
2021-11-25T12:09:00Z,2021-11-25T12:13:58Z,IP Address,174.253.1.90,100,298,TRUE,2021-11-25T12:13:59Z,R_SGKjrKG88ED8aFH,NA,NA,NA,NA,35.22959899902344,-80.84300231933594,anonymous,EN,I consent,5dd877b0568ca582fb24699f,United States,Yes,Definitely will recommend,This candidate seem to have excelled in a lot of areas. They increase sales by 7%. Candidate also had a degree which is helpful and some good work experience,A moderately good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Female,NA,57,Associate or Bachelor's degree,South,More than 20 years,Working,NA,Type name here:,Cigna,Contract implementation,NA,NA,NA,NA,5dd877b0568ca582fb24699f,NA,1,NA,NA,2,3,4,1
2021-11-25T12:10:44Z,2021-11-25T12:14:10Z,IP Address,74.73.8.153,100,206,TRUE,2021-11-25T12:14:10Z,R_3IPu8Daax60Fpo5,NA,NA,NA,NA,40.85270690917969,-73.93830108642578,anonymous,EN,I consent,615a1ff8763bc9c0ec6ff4c1,United States,Yes,Probably recommend,I’d have questions about why she is leaving the company she started,Neither a bad nor a good fit,Likely,Neither easy nor difficult,A slightly good team player,"Yes, an ex-founder",Female,NA,42,Associate or Bachelor's degree,Northeast,10–20 years,Working,NA,Type name here:,The Spence School,Site Manager,NA,NA,NA,No,615a1ff8763bc9c0ec6ff4c1,NA,1,NA,NA,1,4,3,2
2021-11-25T12:11:31Z,2021-11-25T12:15:15Z,IP Address,98.221.120.19,100,223,TRUE,2021-11-25T12:15:15Z,R_1CkkRxBuDifoC7s,NA,NA,NA,NA,40.485595703125,-74.62650299072266,anonymous,EN,I consent,614efa2878aa3275b54d0bdf,United States,Yes,Probably recommend,The candidate has sound experience in marketing with respectable companies.,A moderately good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Male,NA,64,Master's degree,Northeast,More than 20 years,Working,NA,Does not apply / Other,NA,NA,"If not self-employed, describe what you do and with whom you work with:",NA,Researcj with other scientists,Don't ask for personal information,614efa2878aa3275b54d0bdf,1,NA,NA,NA,3,2,1,4
2021-11-25T12:09:13Z,2021-11-25T12:15:39Z,IP Address,73.55.2.53,100,385,TRUE,2021-11-25T12:15:39Z,R_43k82BSSteqIRsl,NA,NA,NA,NA,27.073806762695312,-82.17620086669922,anonymous,EN,I consent,598cc899e339120001fb88c6,United States,Yes,Very probably recommend,He achieved good credentials within the 4 years of job performance.  His skills and mindset is really good.,A moderately good fit,Not likely,Definitely easy,A moderately good team player,"Yes, an ex-founder",Male,NA,69,Master's degree,South,More than 20 years,Other:,"Retired, but volunteering my expertise for the Pentagon.",NA,NA,NA,NA,NA,NA,"None, everything looked good.",598cc899e339120001fb88c6,NA,NA,NA,1,1,3,2,4
2021-11-25T12:09:55Z,2021-11-25T12:15:48Z,IP Address,73.138.55.150,100,353,TRUE,2021-11-25T12:15:48Z,R_bEs1XDlfRq1Uslr,NA,NA,NA,NA,25.082000732421875,-80.448699951171875,anonymous,EN,I consent,5eb70ee80df8f662dffe22d5,United States,Yes,Definitely will recommend,Highly impressive resume for a young person in marketing.,A moderately good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Male,NA,41,Master's degree,South,10–20 years,Working,NA,Type name here:,Infrastructure Capital Partners,Managing Director,NA,NA,NA,Neat resume study,5eb70ee80df8f662dffe22d5,1,NA,NA,NA,2,1,4,3
2021-11-25T12:12:51Z,2021-11-25T12:17:13Z,IP Address,73.209.32.117,100,262,TRUE,2021-11-25T12:17:13Z,R_2SIUUd2urh5uRPy,NA,NA,NA,NA,41.74540710449219,-86.138702392578125,anonymous,EN,I consent,5484fd09fdf99b38dfb9645c,United States,Yes,Very probably recommend,They have strong work experience,A moderately good fit,"Might or
might not quit",Easy,A moderately good team player,"Yes, an ex-founder",Female,NA,33,Associate or Bachelor's degree,Midwest,10–20 years,Working,NA,Type name here:,Family Psychology,Office Manager,NA,NA,NA,no,5484fd09fdf99b38dfb9645c,NA,NA,NA,1,2,4,3,1
2021-11-25T12:13:21Z,2021-11-25T12:18:22Z,IP Address,67.162.200.58,100,300,TRUE,2021-11-25T12:18:22Z,R_2xLEBkQPMsp4abu,NA,NA,NA,NA,34.81080627441406,-92.22489929199219,anonymous,EN,I consent,57e7bb4e73e67300012b8e2a,United States,Yes,Definitely will recommend,"His experience is solid.  He started out at Best buy, worked his way up, then went on to pursue a job with another company in management.  This displays initiative and drive.  He seems like he would be an asset wherever he landed.",An extremely good fit,"Might or
might not quit",Easy,A moderately good team player,"No, not an ex-founder",Female,NA,53,"Some college, no degree",South,More than 20 years,Keeping house,NA,NA,NA,NA,NA,NA,NA,No,57e7bb4e73e67300012b8e2a,1,NA,NA,NA,3,2,4,1
2021-11-25T12:13:58Z,2021-11-25T12:18:36Z,IP Address,73.241.23.118,100,277,TRUE,2021-11-25T12:18:36Z,R_W7dZnvDhXwyHZyV,NA,NA,NA,NA,37.841400146484375,-122.12539672851562,anonymous,EN,I consent,5c9293accd8dd00001d0b129,United States,Yes,Very probably recommend,"she is currently a director with good experience, and is overseeing 8 other people with success",An extremely good fit,"Might or
might not quit",Neither easy nor difficult,An extremely good team player,"No, not an ex-founder",Male,NA,51,Associate or Bachelor's degree,West,More than 20 years,Working,NA,Type name here:,winston mfgr,directir west coast sales,NA,NA,NA,NA,5c9293accd8dd00001d0b129,NA,NA,1,NA,1,2,3,4
2021-11-25T12:09:46Z,2021-11-25T12:19:03Z,IP Address,174.209.104.112,100,556,TRUE,2021-11-25T12:19:03Z,R_p4YyBzYKF1uVdVT,NA,NA,NA,NA,33.78379821777344,-84.44550323486328,anonymous,EN,I consent,60c35c4fabca21fb4a0c9f17,United States,Yes,Probably recommend,Plenty of experience in the field but also maintains a longstanding with the company for over 5 years.,A moderately good fit,Not likely,Easy,An extremely good team player,"No, not an ex-founder",Male,NA,37,Associate or Bachelor's degree,South,More than 20 years,Working,NA,Type name here:,Total Logistics,Equipment and parts manager,NA,NA,NA,No,60c35c4fabca21fb4a0c9f17,NA,NA,1,NA,1,4,3,2
2021-11-25T12:11:17Z,2021-11-25T12:19:08Z,IP Address,68.108.223.47,100,471,TRUE,2021-11-25T12:19:09Z,R_2eXM1dlxYkDJT5c,NA,NA,NA,NA,32.18499755859375,-110.81710052490233,anonymous,EN,I consent,5b6872f33ffbf200015434ef,United States,Yes,Probably recommend,He seems like a good candidate,Neither a bad nor a good fit,"Might or
might not quit",Neither easy nor difficult,A moderately good team player,"No, not an ex-founder",Female,NA,29,Associate or Bachelor's degree,West,5–10 years,Working,NA,Type name here:,Steven,Accountant,NA,NA,NA,NA,5b6872f33ffbf200015434ef,NA,NA,NA,1,1,4,2,3
2021-11-25T12:19:22Z,2021-11-25T12:19:34Z,IP Address,96.19.44.192,100,12,TRUE,2021-11-25T12:19:34Z,R_u1vTWyMtznk8is1,NA,NA,NA,NA,30.46049499511719,-89.085601806640625,anonymous,EN,I consent,610a40ffbf11d261514a7c0a,Other,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610a40ffbf11d261514a7c0a,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-25T12:17:06Z,2021-11-25T12:19:35Z,IP Address,74.96.168.121,100,149,TRUE,2021-11-25T12:19:35Z,R_DdxHRkBJE299WZX,NA,NA,NA,NA,38.77830505371094,-77.12190246582031,anonymous,EN,I consent,5ff2240a2f567121402762e6,United States,Yes,Probably recommend,Provided a professional resume and had good experience,A slightly good fit,Likely,Easy,A slightly good team player,"No, not an ex-founder",Male,NA,31,Associate or Bachelor's degree,South,5–10 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,Technology,NA,None,5ff2240a2f567121402762e6,NA,NA,NA,1,2,4,1,3
2021-11-25T12:14:49Z,2021-11-25T12:19:45Z,IP Address,73.121.133.126,100,295,TRUE,2021-11-25T12:19:45Z,R_3gYnqYmeVJ9IuHy,NA,NA,NA,NA,35.84559631347656,-83.53919982910156,anonymous,EN,I consent,6160db8b2995742dd0ee9211,United States,Yes,Very probably recommend,Leadership skills in area of expertise,A moderately good fit,Not very likely,Neither easy nor difficult,A moderately good team player,"Yes, an ex-founder",Male,NA,42,Professional degree,Northeast,10–20 years,Working,NA,Type name here:,CHS,Director,NA,NA,NA,No,6160db8b2995742dd0ee9211,NA,1,NA,NA,1,2,3,4
2021-11-25T12:12:16Z,2021-11-25T12:19:47Z,IP Address,100.8.159.47,100,450,TRUE,2021-11-25T12:19:47Z,R_24iSJPwFuM3P7BO,NA,NA,NA,NA,40.657501220703125,-74.30940246582031,anonymous,EN,I consent,614f0645e047c9320335e409,United States,Yes,Very probably recommend,She has great job experience in multiple different jobs. She built her own company that is still currently running. I would be curious as to why she is looking around for a job when she is founder and CEO of her own business.,A moderately good fit,Likely,Neither easy nor difficult,A moderately good team player,"Yes, an ex-founder",Male,NA,39,"Some college, no degree",Northeast,More than 20 years,Working,NA,Type name here:,Kohl's Department Stores Inc.,Store Manager,NA,NA,NA,No.,614f0645e047c9320335e409,NA,1,NA,NA,3,1,4,2
2021-11-25T12:19:50Z,2021-11-25T12:19:59Z,IP Address,96.19.44.192,100,9,TRUE,2021-11-25T12:20:00Z,R_12ov12xIX5Fo4XT,NA,NA,NA,NA,30.46049499511719,-89.085601806640625,anonymous,EN,I consent,610a40ffbf11d261514a7c0a,United States,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610a40ffbf11d261514a7c0a,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-25T12:12:22Z,2021-11-25T12:20:12Z,IP Address,71.84.21.8,100,470,TRUE,2021-11-25T12:20:12Z,R_1lzttsic6K7s7zn,NA,NA,NA,NA,35.640899658203125,-120.70100402832033,anonymous,EN,I consent,5e7072e5fb136c63e94f3fa4,United States,Yes,Very probably recommend,she has an impressive professional background and skill set,A moderately good fit,Not likely,Definitely easy,A moderately good team player,"No, not an ex-founder",Male,NA,38,Associate or Bachelor's degree,West,10–20 years,Working,NA,Does not apply / Other,NA,NA,Write industry here:,tech,NA,asking for the name of my employer is totally unacceptable,5e7072e5fb136c63e94f3fa4,NA,NA,1,NA,1,3,2,4
2021-11-25T12:17:19Z,2021-11-25T12:22:11Z,IP Address,108.30.12.67,100,292,TRUE,2021-11-25T12:22:11Z,R_2D1rKjVdEuWVI4w,NA,NA,NA,NA,40.67640686035156,-73.87529754638672,anonymous,EN,I consent,5f00e55a0b6653224c1946b0,United States,Yes,Probably recommend,His result incompetence is quite interesting I think he will improve a lot more in the future,A moderately good fit,Likely,Not easy,A slightly good team player,"No, not an ex-founder",Female,NA,31,Associate or Bachelor's degree,Northeast,Less than 5 years,Working,NA,Type name here:,Joe,Marketing Executive,NA,NA,NA,I am really happy to be part of this survey and I hope to do more with you in the future,5f00e55a0b6653224c1946b0,1,NA,NA,NA,3,4,2,1
2021-11-25T12:19:00Z,2021-11-25T12:22:48Z,IP Address,172.58.128.157,100,227,TRUE,2021-11-25T12:22:48Z,R_3fPi5IU2pC68weT,NA,NA,NA,NA,25.890594482421875,-80.17839813232422,anonymous,EN,I consent,5d9880bd64bc3d031d933871,United States,Yes,Probably recommend,Experienced candidate,A slightly good fit,Likely,Easy,A moderately good team player,"No, not an ex-founder",Female,NA,41,Master's degree,South,10–20 years,Working,NA,Type name here:,Government Contractor,Manager,NA,NA,NA,Asking for one's employer's name could be considered personal identifying information. I would omit that question going forward and just ask about the industry.,5d9880bd64bc3d031d933871,NA,NA,1,NA,4,2,3,1
